ecodistrict,year,model,scenario,tmin,prcp,ivpd,itmin,iphoto
145,2096,Hadley,RCP85,-1.10438356164383,26.18,364.353332307692,152.085714285714,213.317777777778
145,2097,Hadley,RCP85,-1.93397260273973,30.1,364.790310769231,143.8,213.317777777778
145,2098,Hadley,RCP85,-0.544931506849312,27.59,364.114667692308,170.385714285714,213.317777777778
145,2099,Hadley,RCP85,-0.474520547945207,18.02,363.996686153846,159.328571428571,213.317777777778
145,2100,Hadley,RCP85,-1.30027397260274,31.09,364.756695384615,157.457142857143,213.317777777778
146,2000,RCM4,RCP45,-13.9232876712329,19.32,364.266969230769,74.2857142857143,213.197777777778
146,2001,RCM4,RCP45,-12.1830136986301,17.38,363.792710769231,87.3571428571428,213.197777777778
146,2002,RCM4,RCP45,-11.7967123287671,22.2,364.255298461539,81.0857142857143,213.197777777778
146,2003,RCM4,RCP45,-12.5191780821918,21.22,364.054243076923,82.1142857142857,213.197777777778
146,2004,RCM4,RCP45,-14.853698630137,15.84,363.687273846154,83.7,213.197777777778
146,2005,RCM4,RCP45,-12.1194520547945,26.05,364.8172,79.6857142857143,213.197777777778
146,2006,RCM4,RCP45,-10.8967123287671,15.67,364.033504615385,105.128571428571,213.197777777778
146,2007,RCM4,RCP45,-12.4805479452055,12.63,364.006575384615,91.8142857142857,213.197777777778
146,2008,RCM4,RCP45,-12.4756164383562,22.95,364.24568,84.5428571428571,213.197777777778
146,2009,RCM4,RCP45,-12.7468493150685,22.05,364.587203076923,84.0428571428572,213.197777777778
146,2010,RCM4,RCP45,-10.7778082191781,24.07,364.086796923077,97.6571428571428,213.197777777778
146,2090,RCM4,RCP45,-8.52328767123289,16.36,363.724304615385,118.057142857143,213.197777777778
146,2091,RCM4,RCP45,-7.62164383561644,14.16,364.321123076923,112.142857142857,213.197777777778
146,2092,RCM4,RCP45,-7.3841095890411,25.15,364.398113846154,110.714285714286,213.197777777778
146,2093,RCM4,RCP45,-7.82164383561644,20.24,364.699123076923,119.271428571429,213.197777777778
146,2094,RCM4,RCP45,-9.07972602739726,20.28,363.652513846154,103.114285714286,213.197777777778
146,2095,RCM4,RCP45,-8.1641095890411,21.04,364.045661538462,110.971428571429,213.197777777778
146,2096,RCM4,RCP45,-8.15178082191781,23.77,363.526836923077,124.571428571429,213.197777777778
146,2097,RCM4,RCP45,-9.32493150684931,18.28,364.538729230769,108.085714285714,213.197777777778
146,2098,RCM4,RCP45,-6.88301369863014,26.61,364.505329230769,128.685714285714,213.197777777778
146,2099,RCM4,RCP45,-7.03808219178082,25.67,363.612455384615,115.171428571429,213.197777777778
146,2100,RCM4,RCP45,-8.17835616438356,31.66,363.989350769231,117.2,213.197777777778
146,2000,GCM4,RCP45,-13.9232876712329,19.32,364.266969230769,74.2857142857143,213.197777777778
146,2001,GCM4,RCP45,-12.1830136986301,17.38,363.792710769231,87.3571428571428,213.197777777778
146,2002,GCM4,RCP45,-11.7967123287671,22.2,364.255298461539,81.0857142857143,213.197777777778
146,2003,GCM4,RCP45,-12.5191780821918,21.22,364.054243076923,82.1142857142857,213.197777777778
146,2004,GCM4,RCP45,-14.853698630137,15.84,363.687273846154,83.7,213.197777777778
146,2005,GCM4,RCP45,-12.1194520547945,26.05,364.8172,79.6857142857143,213.197777777778
146,2006,GCM4,RCP45,-10.8967123287671,15.67,364.033504615385,105.128571428571,213.197777777778
146,2007,GCM4,RCP45,-12.4805479452055,12.78,364.006575384615,91.8142857142857,213.197777777778
146,2008,GCM4,RCP45,-12.4756164383562,22.95,364.24568,84.5428571428571,213.197777777778
146,2009,GCM4,RCP45,-12.7468493150685,22.05,364.587203076923,84.0428571428572,213.197777777778
146,2010,GCM4,RCP45,-10.7778082191781,24.07,364.086796923077,97.6571428571428,213.197777777778
146,2090,GCM4,RCP45,-7.03561643835617,19.95,364.301470769231,128.485714285714,213.197777777778
146,2091,GCM4,RCP45,-7.22219178082192,27.09,363.626046153846,114.371428571429,213.197777777778
146,2092,GCM4,RCP45,-8.52301369863014,28.14,364.659830769231,109.285714285714,213.197777777778
146,2093,GCM4,RCP45,-7.74630136986302,17.23,364.197649230769,114,213.197777777778
146,2094,GCM4,RCP45,-7.32739726027397,25.62,364.605609230769,106.714285714286,213.197777777778
146,2095,GCM4,RCP45,-7.2,29.82,364.009055384615,123.514285714286,213.197777777778
